Headword (Family),List Level,Occurrences
the,1k,1646
be,1k,1129
she,1k,883
and,1k,867
to,1k,725
a,1k,693
it,1k,663
i,1k,659
say,1k,530
of,1k,512
you,1k,468
in,1k,368
have,1k,360
not,1k,355
that,1k,310
they,1k,297
he,1k,265
do,1k,264
as,1k,263
at,1k,211
on,1k,193
with,1k,180
go,1k,180
all,1k,179
but,1k,170
for,1k,153
so,1k,152
this,1k,144
think,1k,140
what,1k,136
no,1k,133
very,1k,130
little,1k,127
out,1k,116
get,1k,113
know,1k,107
down,1k,105
one,1k,103
look,1k,103
there,1k,98
up,1k,98
see,1k,97
come,1k,97
if,1k,96
begin,1k,95
about,1k,94
then,1k,93
would,1k,91
will,1k,86
like,1k,85
could,1k,83
again,1k,83
some,1k,82
when,1k,80
thing,1k,79
or,1k,77
queen,1k,77
make,1k,76
time,1k,74
off,1k,73
who,1k,68
into,1k,67
how,1k,67
king,1k,64
turtle,5k,61
well,1k,60
head,1k,60
can,1k,60
any,1k,60
now,1k,60
hat,1k,58
by,1k,58
find,1k,57
mock,4k,57
take,1k,56
we,1k,56
gryphon,21k,55
way,1k,54
quite,1k,53
just,1k,52
much,1k,51
first,1k,51
voice,1k,51
only,1k,50
cat,1k,50
here,1k,49
which,1k,49
rabbit,1k,49
more,1k,48
hear,1k,48
other,1k,47
mouse,2k,47
never,1k,45
try,1k,45
after,1k,44
tell,1k,42
duchess,7k,42
two,1k,42
tone,2k,42
turn,1k,41
large,1k,41
such,1k,41
round,1k,41
must,1k,41
over,1k,40
why,1k,40
feel,1k,40
seem,1k,40
dormouse,17k,40
great,1k,39
back,1k,39
speak,1k,38
from,1k,37
before,1k,37
eye,1k,36
long,1k,36
hand,1k,35
sit,1k,35
use,1k,35
reply,1k,34
put,1k,34
march,2k,34
last,1k,34
once,1k,34
every,1k,33
ask,1k,33
right,1k,32
minute,1k,32
should,1k,32
grow,1k,32
dear,1k,32
door,1k,32
moment,1k,31
hare,6k,31
near,1k,31
word,1k,31
talk,1k,31
shall,1k,31
next,1k,30
give,1k,30
white,1k,30
caterpillar,7k,29
day,1k,29
foot,1k,29
wonder,1k,28
mean,1k,28
might,1k,28
run,1k,28
remark,2k,28
win,1k,27
soon,1k,27
poor,1k,27
please,1k,27
three,1k,26
change,1k,26
without,1k,26
too,1k,26
keep,1k,26
upon,1k,26
cry,1k,26
rather,1k,25
course,1k,25
away,1k,25
call,1k,25
while,1k,25
hurry,1k,25
add,1k,24
yet,1k,24
than,1k,24
chapter,2k,24
curious,2k,24
sure,1k,24
good,1k,24
same,1k,24
garden,1k,23
sort,1k,23
eat,1k,22
old,1k,22
let,1k,22
another,1k,22
child,1k,21
happen,1k,21
wait,1k,21
till,1k,21
side,1k,21
wish,1k,21
question,1k,21
half,1k,21
open,1k,20
walk,1k,20
ever,1k,20
remember,1k,20
repeat,2k,20
however,1k,20
face,1k,20
end,1k,19
fall,1k,19
execute,3k,19
house,1k,19
write,1k,19
even,1k,18
arm,1k,18
enough,1k,18
bill,1k,18
sudden,1k,18
finish,1k,18
table,1k,18
live,1k,17
high,1k,17
anxious,2k,17
jury,3k,17
haste,4k,17
soup,2k,17
hold,1k,17
perhaps,1k,17
certain,1k,17
court,1k,17
where,1k,17
indeed,1k,16
under,1k,16
leave,1k,16
left,1k,16
beauty,1k,16
bit,1k,16
mad,1k,16
because,1k,15
dance,1k,15
small,1k,15
air,1k,15
play,1k,15
lobster,6k,15
set,1k,15
idea,1k,15
want,1k,15
close,1k,15
low,1k,14
read,1k,14
game,1k,14
size,1k,14
creature,2k,14
notice,1k,14
puzzle,3k,14
mouth,1k,14
stand,1k,14
far,1k,14
answer,1k,14
silence,2k,14
ought,1k,14
better,1k,14
explain,1k,14
both,1k,14
suppose,1k,14
angry,1k,14
always,1k,13
whole,1k,13
tea,1k,13
